Ticker,Date,Price,Open,High,Low,ChangePercent
US5YR,2017-02-03,1.911,1.928,1.968,1.868,-0.0073
US5YR,2017-02-02,1.925,1.933,1.934,1.888,-0.0047
US5YR,2017-02-01,1.934,1.921,1.984,1.916,0.0068
US5YR,2017-01-31,1.921,1.944,1.952,1.89,-0.0154
US5YR,2017-01-30,1.951,1.939,1.956,1.918,0.0069
US5YR,2017-01-29,1.938,1.947,1.947,1.934,-0.0053
US5YR,2017-01-27,1.948,1.966,1.987,1.941,-0.0117
US5YR,2017-01-26,1.971,1.977,2.017,1.957,-0.0035
US5YR,2017-01-25,1.978,1.926,1.995,1.918,0.0222
US5YR,2017-01-24,1.935,1.872,1.938,1.858,0.0364
US5YR,2017-01-23,1.867,1.912,1.945,1.849,-0.0233
US5YR,2017-01-22,1.912,1.913,1.913,1.908,-0.0131
US5YR,2017-01-20,1.937,1.967,1.997,1.93,-0.0117
US5YR,2017-01-19,1.96,1.935,1.988,1.923,0.0145
US5YR,2017-01-18,1.932,1.831,1.942,1.826,0.0598
US5YR,2017-01-17,1.823,1.874,1.877,1.804,-0.028
US5YR,2017-01-16,1.875,1.899,1.899,1.874,-0.0124
US5YR,2017-01-13,1.899,1.866,1.935,1.829,0.0188
US5YR,2017-01-12,1.864,1.872,1.872,1.815,-0.009
US5YR,2017-01-11,1.881,1.881,1.902,1.828,0.0011
US5YR,2017-01-10,1.879,1.878,1.897,1.864,0.0005
US5YR,2017-01-09,1.878,1.949,1.949,1.873,-0.0247
US5YR,2017-01-08,1.926,1.926,1.926,1.926,0.0003
US5YR,2017-01-06,1.925,1.848,1.932,1.827,0.0434
US5YR,2017-01-05,1.845,1.931,1.947,1.837,-0.045
US5YR,2017-01-04,1.932,1.949,1.977,1.922,-0.0051
US5YR,2017-01-03,1.942,1.922,2.003,1.922,0.0041
US6MO,2017-03-31,0.904,0.901,0.914,0.901,-0.0022
US6MO,2017-03-30,0.906,0.906,0.924,0.904,-0.0066
US6MO,2017-03-29,0.912,0.917,0.937,0.912,-0.013
US6MO,2017-03-28,0.924,0.912,0.932,0.912,0.0109
US6MO,2017-03-27,0.914,0.896,0.914,0.886,0.0228
US6MO,2017-03-26,0.894,0.896,0.896,0.894,0.0063
US6MO,2017-03-24,0.888,0.886,0.896,0.886,-0.0067
US6MO,2017-03-23,0.894,0.891,0.899,0.891,0.0034
US6MO,2017-03-22,0.891,0.896,0.899,0.891,-0.0166
US6MO,2017-03-21,0.906,0.906,0.914,0.899,0.0402
US6MO,2017-03-20,0.871,0.878,0.881,0.863,0.0065
US6MO,2017-03-19,0.865,0.865,0.865,0.865,0
US6MO,2017-03-18,0.865,0.865,0.865,0.865,0
US6MO,2017-03-17,0.865,0.865,0.886,0.865,-0.0126
US6MO,2017-03-16,0.876,0.871,0.937,0.871,-0.0146
US6MO,2017-03-15,0.889,0.932,0.932,0.878,-0.0461
US6MO,2017-03-14,0.932,0.927,0.942,0.927,0.0087
